OBJECTID_1,FID_Metrorail_Stations_Buffer,OBJECTID,NAME,STATION,NODE,YEAR_,GlobalID,CreationDa,Creator,EditDate,Editor,BUFF_DIST,ORIG_FID,FID_Current_Housing_Units,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC
66,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,102571,102572,0293 30 0008,370909,,1/1/2023,1,TH,31,2005,
67,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,46578,46579,0293 25 0010,355659,,1/1/2023,1,TH,31,1997,
68,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,99782,99783,0293 21 0027,430407,,1/1/2023,1,TH,31,1984,
69,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,46597,46598,0293 30 0007,201085,,1/1/2023,1,TH,31,2005,
70,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,111903,111904,0293 25 0009,529741,,1/1/2023,1,TH,31,1996,
71,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,47088,47089,0293 21 0026,264233,,1/1/2023,1,TH,31,1984,
72,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,44931,44932,0293 30 0006,399093,,1/1/2023,1,TH,31,2005,
73,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,59100,59101,0293 21 0025,233473,,1/1/2023,1,TH,31,1984,
74,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,36075,36076,0293 25 0008,362005,,1/1/2023,1,TH,31,1997,
75,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66408,66409,0392 34 0301,455575,,1/1/2023,1,HR,47,1986,
