ACCT,Steet Name,City,ZIP,Licence Type,Lic Status,Point X,Point Y
1796770,Griffith,GAIT,20882,RLU,AP,"1,280,302.00","568,896.00"
428790,Willard,CHEV,20815,ACC,EX,"1,285,228.00","471,857.00"
1142177,Crestwood,KENS,20895,ACC3,LI,"1,285,771.00","493,752.00"
751435,Rocking Spring,ROCK,20853,RLU,PE,"1,281,794.00","523,023.00"
443922,Barrett,BETH,20814,RLU,AP,"1,281,564.00","477,847.00"
622845,Plainview,BETH,20817,ACC3,LI,"1,278,651.00","479,473.00"
116413,Galena,ROCK,20852,ACC,EX,"1,284,911.00","504,703.00"
607953,Ft Sumner,BETH,20816,RLU,AP,"1,279,660.00","469,075.00"
529165,Chestnut,BETH,20814,RLU,AP,"1,285,424.00","483,298.00"
1628368,Broad Brook,BETH,20814,ACC3,PE,"1,284,645.00","490,211.00"
539186,Dorset,CHEV,20815,RLU,AP,"1,285,456.00","473,787.00"
3264036,Fairglen,CHEV,20815,RLU,AP,"1,282,906.00","477,144.00"
1262366,Mitscher,KENS,20895,ACC3,PE,"1,288,532.00","500,509.00"
1258763,Wexford,KENS,20895,ACC,LI,"1,289,200.00","498,704.00"
674198,Elsmere,BETH,20814,RLU,AP,"1,284,238.00","489,979.00"
1443415,Janice,ROCK,20853,RLU,AP,"1,284,041.00","521,028.00"
57882,Montrose,GARR,20896,ACC,EX,"1,285,167.00","499,503.00"
1424514,Russett,ROCK,20853,ACC,LI,"1,282,565.00","516,916.00"
540208,Sleaford,BETH,20814,RLU,AP,"1,286,225.00","481,259.00"
546568,Westwood,BETH,20816,ACC3,LI,"1,282,083.00","466,135.00"
718544,Rocking Spring,ROCK,20853,ACC,EX,"1,281,427.00","523,017.00"
1290400,Helen,SILV,20906,ACC3,LI,"1,289,960.00","508,856.00"
2262965,Botany,GAIT,20878,ACC,EX,"1,248,530.00","521,543.00"
413550,Winesap,NO P,20878,RLU,AP,"1,241,372.00","524,818.00"
2488613,Wagon,SILV,20906,RLU,AP,"1,302,137.00","516,070.00"
1318390,Georgia,SILV,20906,ACC,EX,"1,292,950.00","512,850.00"
1059523,Sligo Creek,TAKO,20912,RLU,AP,"1,310,696.00","481,745.00"
2411200,Waterfowl,ROCK,20853,ACC,LI,"1,283,946.00","527,607.00"
1063536,Sycamore,TAKO,20912,ACC,EX,"1,311,163.00","476,552.00"
1147660,Milford,SILV,20910,RLU,AP,"1,299,779.00","485,061.00"
3106320,Edgemoor,BETH,20814,RLU,AP,"1,283,074.00","479,880.00"
2871011,Tribunal,POTO,20854,RLU,AP,"1,243,960.00","510,165.00"
3646893,Woodfield,GAIT,20882,RLU,AP,"1,263,301.00","563,214.00"
1422253,Russett,ROCK,20853,RLU,AP,"1,282,473.00","518,012.00"
1693871,Riverwood,POTO,20854,RLU,PE,"1,248,642.00","497,372.00"
364117,Palermo,SILV,20904,ACC,EX,"1,327,035.00","508,328.00"
3299946,Bear Creek,BOYD,20841,RLU,AP,"1,228,996.00","544,900.00"
998346,Everett,KENS,20895,RLU,PE,"1,288,778.00","493,093.00"
508686,Wehawken,BETH,20816,RLU,AP,"1,276,961.00","470,056.00"
U 447667,Valley,BETH,20817,ACC3,LI,"1,275,648.00","485,021.00"
2573051,Settlers Landing,NO P,20878,RLU,AP,"1,248,932.00","519,410.00"
515352,Garfield,BETH,20817,RLU,AP,"1,279,312.00","484,160.00"
634422,Singleton,BETH,20817,ACC,LI,"1,276,402.00","490,631.00"
2361161,Ridge,ROCK,20853,RLU,AP,"1,284,348.00","538,519.00"
107340,Old Stage,ROCK,20852,RLU,AP,"1,272,976.00","502,055.00"
1238561,Connecticut,SILV,20906,RLU,AP,"1,291,708.00","507,419.00"
1879306,Alloway,POTO,20854,RLU,PE,"1,250,189.00","486,962.00"
1411055,Falcon,ROCK,20853,RLU,AP,"1,285,583.00","509,560.00"
706843,New Hampshire,BRKV,20833,RLU,AP,"1,304,976.00","557,867.00"
1064280,Buffalo,TAKO,20912,ACC,EX,"1,306,732.00","478,783.00"
1040364,Silver Spring,SILV,20910,ACC,LI,"1,306,980.00","482,756.00"
325776,Lillian,SILV,20904,ACC3,FD,"1,308,150.00","514,269.00"
368718,Cricket,SILV,20904,RLU,PE,"1,307,077.00","518,140.00"
986678,Guilford,SILV,20901,RLU,AP,"1,306,123.00","491,335.00"
1326220,Monticello,SILV,20902,ACC,LI,"1,303,873.00","502,065.00"
2454243,Highland,SILV,20910,ACC,LI,"1,301,497.00","486,938.00"
1046907,Thayer,SILV,20910,RLU,AP,"1,307,168.00","482,981.00"
987445,Philadelphia,SILV,20910,ACC3,PE,"1,306,101.00","480,932.00"
1057353,Takoma,TAKO,20912,RLU,AP,"1,306,647.00","479,498.00"
3052875,Durham,POTO,20854,RLU,AP,"1,258,902.00","486,575.00"
343811,Randolph,SILV,20904,ACC,PE,"1,308,404.00","510,674.00"
1366065,Hannes,SILV,20901,RLU,AP,"1,308,430.00","498,627.00"
383975,Eldrid,SILV,20904,ACC3,FC,"1,312,967.00","509,627.00"
1065730,Elm,TAKO,20912,ACC3,PE,"1,309,940.00","475,752.00"
1432274,Woodland,SILV,20910,ACC,EX,"1,302,916.00","486,513.00"
3061117,Lindsey Manor,SILV,20905,ACC,PE,"1,304,930.00","529,483.00"
1437072,Watson,SILV,20910,ACC,PE,"1,305,521.00","487,986.00"
323983,Marine,SILV,20905,ACC,EX,"1,309,720.00","518,972.00"
1038645,Bennington,SILV,20910,ACC,LI,"1,307,141.00","487,817.00"
717334,Ednor,SILV,20905,ACC,EX,"1,309,797.00","534,444.00"
1074483,Maple,TAKO,20912,RLU,AP,"1,311,263.00","480,890.00"
3172313,Circle,TAKO,20912,ACC,LI,"1,311,547.00","474,986.00"
1881925,Beaumont,SILV,20904,ACC3,LI,"1,310,435.00","513,227.00"
2428745,Cannon,SILV,20904,ACC,LI,"1,312,378.00","511,233.00"
1065774,Manor,TAKO,20912,ACC,EX,"1,311,199.00","478,092.00"
1058860,Maple,TAKO,20912,ACC,EX,"1,311,186.00","481,322.00"
1059900,Sycamore,TAKO,20912,ACC,EX,"1,310,773.00","477,201.00"
3374306,Woodland,TAKO,20912,ACC3,FC,"1,311,434.00","477,008.00"
3174675,Lincoln,TAKO,20912,ACC3,LI,"1,312,839.00","477,840.00"
2230297,Childs,SILV,20901,ACC,EX,"1,310,748.00","497,262.00"
310503,Orchard,SILV,20904,ACC,LI,"1,312,489.00","515,581.00"
328256,Schindler,SILV,20903,ACC3,PE,"1,315,318.00","495,238.00"
260010,Priscilla,SILV,20904,RLU,AP,"1,319,426.00","506,099.00"
1012366,Wire,SILV,20901,ACC3,PE,"1,309,260.00","487,780.00"
3165716,Elm,TAKO,20912,ACC,EX,"1,312,129.00","476,493.00"
2794960,Amina,BURT,20866,RLU,AP,"1,334,080.00","528,595.00"
61565,Shelley,GARR,20896,RLU,AP,"1,286,219.00","497,196.00"
284083,Mc Ceney,SILV,20901,ACC3,FD,"1,313,612.00","497,473.00"
2451284,Schindler,SILV,20903,ACC3,PE,"1,314,951.00","494,381.00"
733232,Hornell,SILV,20905,ACC,EX,"1,315,487.00","537,450.00"
297234,Hedin,SILV,20903,RLU,PE,"1,316,067.00","492,054.00"
309801,Forest Dale,SILV,20903,RLU,AP,"1,320,727.00","493,912.00"
358947,O'Fallon,SILV,20904,ACC,LI,"1,324,930.00","508,025.00"
3432116,Bethesda Church,DAMA,20872,RLU,AP,"1,249,206.00","592,076.00"
361160,O'Fallon,SILV,20904,RLU,AP,"1,325,009.00","508,175.00"
336017,Brantford,SILV,20904,RLU,AP,"1,315,214.00","506,916.00"
2959940,River View,POTO,20854,RLU,AP,"1,246,271.00","495,074.00"
339512,Billington,SILV,20904,ACC,LI,"1,316,857.00","508,210.00"
286606,New Hampshire,SILV,20903,ACC,LI,"1,318,154.00","494,320.00"
273433,Kingshouse,SILV,20905,ACC,EX,"1,322,281.00","522,406.00"
3613426,Wickham,OLNE,20832,RLU,AP,"1,284,082.00","548,379.00"
287691,Oaklawn,SILV,20903,ACC3,FC,"1,317,924.00","495,265.00"
309253,Forest Dale,SILV,20903,RLU,AP,"1,320,520.00","493,781.00"
360848,Castleleigh,SILV,20904,ACC,LI,"1,328,910.00","507,654.00"
3548677,Denit Estates,BRKV,20833,RLU,AP,"1,300,592.00","559,089.00"
3403342,Fairland,SILV,20904,RLU,AP,"1,329,775.00","509,349.00"
256030,Oak Hill,SILV,20905,RLU,AP,"1,321,121.00","533,643.00"
1966745,MacArthur,BETH,20817,RLU,AP,"1,260,987.00","477,126.00"
