GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330805500,2020,805500,1008221,0,Census Tract 8055,38.9797221,-76.9817825,1206,229,753,5,109,0,11,99,2510,173,15,98,5,14,1818,387,3716
G2400330805601,2020,805601,523775,0,Census Tract 8056.01,38.990467,-76.9845267,392,51,228,12,47,2,30,22,5981,427,28,465,10,0,4163,888,6373
G2400330805602,2020,805602,285319,0,Census Tract 8056.02,38.9893628,-76.98076,438,51,277,13,43,3,22,29,5117,384,13,280,6,0,3517,917,5555
G2400330805700,2020,805700,1279858,84,Census Tract 8057,38.993184,-76.979425,1827,232,1233,7,214,5,46,90,4783,279,21,198,13,1,3204,1067,6610
G2400330805801,2020,805801,1430516,2070,Census Tract 8058.01,38.9783801,-76.9673917,1434,129,1073,2,139,0,31,60,3311,168,22,144,3,5,2398,571,4745
G2400330805802,2020,805802,1048422,0,Census Tract 8058.02,38.9742915,-76.9744218,1152,98,867,3,97,0,34,53,3235,151,29,125,8,0,2369,553,4387
G2400330805904,2020,805904,2548582,0,Census Tract 8059.04,38.9957928,-76.968443,1542,395,818,9,226,0,13,81,2175,129,27,52,0,0,1292,675,3717
G2400330805906,2020,805906,322990,0,Census Tract 8059.06,39.0070815,-76.974639,1632,197,1241,2,113,1,21,57,2184,173,50,102,5,1,1398,455,3816
G2400330805907,2020,805907,232734,0,Census Tract 8059.07,39.0048847,-76.9784818,1757,96,1461,3,142,1,10,44,1589,93,17,82,0,0,1036,361,3346
G2400330805908,2020,805908,1016552,0,Census Tract 8059.08,38.9710564,-76.9551963,2662,250,1983,2,255,0,30,142,830,47,22,65,0,1,497,198,3492
G2400330805909,2020,805909,1174090,11608,Census Tract 8059.09,38.9777773,-76.9604189,3535,624,2005,18,670,5,62,151,1489,150,57,77,0,0,953,252,5024
G2400330806000,2020,806000,1521331,0,Census Tract 8060,38.9626564,-76.961756,2811,705,1675,16,208,1,35,171,3534,193,40,150,6,3,2517,625,6345
G2400330806100,2020,806100,1347730,27151,Census Tract 8061,38.9569825,-76.9549813,2958,1359,1273,10,114,1,40,161,1616,149,21,44,8,5,1072,317,4574
G2400330806400,2020,806400,2055552,0,Census Tract 8064,38.9751066,-76.9459129,3525,2338,377,3,579,0,15,213,409,52,3,17,2,2,150,183,3934
