GISJOIN,YEAR,TRACTA,AREALAND,AREAWAT,ANPSADPI,INTPTLAT,INTPTLNG,Total_Not_Hispanic,White,Black,NA,Asian_PI,Other,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian_PI,Hispanic_Other,Total
G2400330801901,1990,801901,4423,0,Tract 8019.01,38809616,-76926161,4766,2400,2221,20,115,10,89,59,21,1,2,6,4855
G2400330801902,1990,801902,5688,0,Tract 8019.02,38832367,-76938653,6266,1053,5136,9,59,9,107,26,30,0,3,48,6373
G2400330801904,1990,801904,3698,0,Tract 8019.04,38812050,-76904605,3300,1420,1746,20,111,3,79,30,19,1,1,28,3379
G2400330801905,1990,801905,4731,12,Tract 8019.05,38827100,-76910677,3069,1132,1811,1,123,2,46,24,8,0,0,14,3115
G2400330801906,1990,801906,1800,0,Tract 8019.06,38830161,-76888396,2501,1415,1023,25,32,6,87,27,14,0,1,45,2588
G2400330802001,1990,802001,1879,0,Tract 8020.01,38840400,-76921459,5786,804,4803,22,145,12,92,32,22,0,1,37,5878
G2400330802002,1990,802002,478,0,Tract 8020.02,38850350,-76924047,2724,362,2279,10,73,0,43,7,30,0,0,6,2767
G2400330802103,1990,802103,1834,0,Tract 8021.03,38848950,-76891047,2302,997,1248,10,47,0,20,8,2,0,5,5,2322
G2400330802104,1990,802104,1811,0,Tract 8021.04,38835433,-76883367,1978,712,1230,9,22,5,41,21,3,0,0,17,2019
G2400330802105,1990,802105,1947,0,Tract 8021.05,38840650,-76898629,7752,404,7279,16,46,7,106,10,52,0,5,39,7858
G2400330802106,1990,802106,1385,0,Tract 8021.06,38849700,-76912749,947,177,754,4,11,1,25,10,7,0,3,5,972
G2400330802201,1990,802201,5636,0,Tract 8022.01,38837950,-76853206,1183,203,954,5,19,2,19,6,7,0,0,6,1202
G2400330802203,1990,802203,3940,0,Tract 8022.03,38848500,-76870746,5067,1660,3330,14,61,2,45,21,8,0,0,16,5112
G2400330802204,1990,802204,7890,0,Tract 8022.04,38872350,-76862404,5108,672,4384,8,29,15,57,27,19,0,0,11,5165
G2400330802301,1990,802301,1638,0,Tract 8023.01,38856950,-76890930,4085,1429,2592,8,53,3,46,9,13,3,4,17,4131
G2400330802401,1990,802401,4740,0,Tract 8024.01,38853500,-76932157,7049,584,6385,28,41,11,64,10,37,0,0,17,7113
G2400330802403,1990,802403,1865,0,Tract 8024.03,38861750,-76914528,4931,828,4043,19,34,7,90,13,34,0,2,41,5021
G2400330802404,1990,802404,847,0,Tract 8024.04,38863700,-76890787,4787,361,4383,14,28,1,38,10,21,0,0,7,4825
G24003308025,1990,8025,1910,0,Tract 8025,38866200,-76936974,6407,401,5953,23,21,9,81,9,47,0,1,24,6488
G24003308026,1990,8026,941,0,Tract 8026,38875550,-76924090,3774,335,3419,11,9,0,16,1,6,0,0,9,3790
G24003308027,1990,8027,1088,0,Tract 8027,38884900,-76914699,3097,321,2749,15,12,0,33,3,14,0,0,16,3130
G2400330802803,1990,802803,4299,0,Tract 8028.03,38873733,-76906537,3872,296,3531,25,12,8,28,2,10,1,0,15,3900
G2400330802804,1990,802804,5276,0,Tract 8028.04,38877567,-76878401,6341,223,6073,23,18,4,57,15,30,0,0,12,6398
G2400330802805,1990,802805,1509,0,Tract 8028.05,38892850,-76885975,3193,77,3095,5,10,6,29,0,16,3,2,8,3222
G2400330802806,1990,802806,409,0,Tract 8028.06,38896400,-76893384,1579,46,1525,1,7,0,14,8,2,0,0,4,1593
G2400330802901,1990,802901,1530,0,Tract 8029.01,38890850,-76901799,3175,172,2994,3,4,2,30,7,16,0,0,7,3205
