FID,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC,NEAR_FID,NEAR_DIST,Type
46631,46632,0262 098A0010,556717, ,2023-01-01,1,SF,011,1977, ,676,0.004306148,
38135,38136,0262 097A0007,556730, ,2023-01-01,1,SF,011,1977, ,676,0.004331785,
336122,336123,0174 17020065,547922, ,2023-01-01,1,TH,031,1976, ,676,0.004384379,
73524,73525,0262 098A0002,556703, ,2023-01-01,1,SF,011,1977, ,676,0.00440128,
38134,38135,0262 097A0006,556702, ,2023-01-01,1,SF,011,1977, ,676,0.004408435,
45114,45115,0262 097A0009,556727, ,2023-01-01,1,SF,011,1977, ,676,0.004415785,
336121,336122,0174 17020064,547964, ,2023-01-01,1,TH,031,1976, ,676,0.00442648,
38133,38134,0262 09140006,547918, ,2023-01-01,1,SF,011,1979, ,676,0.004433854,
335340,335341,0174 17020063,547913, ,2023-01-01,1,TH,031,1976, ,676,0.004463488,
48313,48314,0262 09050005,556705, ,2023-01-01,1,SF,011,1977, ,676,0.004483976,
46632,46633,0262 098A0011,556739, ,2023-01-01,1,SF,011,1977, ,676,0.004496192,
48071,48072,0262 09140013,545990, ,2023-01-01,1,SF,011,1978, ,676,0.004510196,
50903,50904,0262 09050006,556715, ,2023-01-01,1,SF,011,1977, ,676,0.004510759,
29156,29157,0174 17020062,547944, ,2023-01-01,1,TH,031,1976, ,676,0.004512602,
95611,95612,0294 07  0001B,567159, ,2023-01-01,461,HR,044,2015,ELEVATOR APARTMENT,657,0.004515283,
48310,48311,0262 09020022,546653, ,2023-01-01,1,TH,031,1977, ,676,0.004562702,
29155,29156,0174 17020061,546674, ,2023-01-01,1,TH,031,1976, ,676,0.004576079,
59147,59148,0262 097A0010,556724, ,2023-01-01,1,SF,011,1977, ,676,0.004577593,
38580,38581,0262 09020023,547968, ,2023-01-01,1,TH,031,1977, ,676,0.004592749,
40845,40846,0262 09140011,547949, ,2023-01-01,1,SF,011,1979, ,676,0.00459404,
51252,51253,0294 07  0002A,567160, ,2023-01-01,102,HR,044,2022,ELEVATOR APARTMENT,657,0.004594938,
59148,59149,0262 098A0001,556729, ,2023-01-01,1,SF,011,1977, ,676,0.004599357,
37737,37738,0262 09020029,546652, ,2023-01-01,1,TH,031,1977, ,676,0.004605819,
40780,40781,0294 12080103,451702, ,2023-01-01,1,LR,041,1997, ,658,0.004606792,
38581,38582,0262 09020024,546665, ,2023-01-01,1,TH,031,1977, ,676,0.004611491,
73515,73516,0262 09020025,547921, ,2023-01-01,1,TH,031,1977, ,676,0.004611834,
