ACCT,Steet Name,City,ZIP,Licence Type,Lic Status,Point X,Point Y,geometry
297108,Parham,SILV,20903,RLU,AP,1318300.0,491030.0,POINT (1318300 491030)
375554,Cullen,SILV,20905,RLU,AP,1319269.0,519567.0,POINT (1319269 519567)
C000208,Daleshire,BURT,20866,ACC,EX,1331765.0,516529.0,POINT (1331765 516529)
3159841,Forest Dale,SILV,20903,ACC3,LI,1321388.0,494174.0,POINT (1321388 494174)
2421937,Sugar Pine,BURT,20866,RLU,AP,1334198.0,523116.0,POINT (1334198 523116)
3052784,Starcrest,SILV,20904,RLU,AP,1323884.0,514577.0,POINT (1323884 514577)
2014612,Cabin Creek,BURT,20866,ACC,LI,1325226.0,521265.0,POINT (1325226 521265)
3497500,New Hampshire,BRKV,20833,RLU,AP,1301389.0,561108.0,POINT (1301389 561108)
337397,Parallel,SILV,20904,ACC,EX,1322351.0,515644.0,POINT (1322351 515644)
364232,Bellevue,SILV,20904,ACC,EX,1328362.0,508053.0,POINT (1328362 508053)
285761,Parkman,SILV,20903,RLU,AP,1316887.0,494717.0,POINT (1316887 494717)
337182,Solmar,SILV,20904,ACC3,LI,1321040.0,513676.0,POINT (1321040 513676)
363102,Shanandale,SILV,20904,RLU,PE,1324829.0,508696.0,POINT (1324829 508696)
768583,Alden,GAIT,20877,ACC,LI,1259319.0,,POINT (1259319 NaN)
1009302,Stockton,SILV,20901,RLU,AP,1309758.0,488959.0,POINT (1309758 488959)
1816424,Prince John,BURT,20866,RLU,AP,1325470.0,521871.0,POINT (1325470 521871)
3543460,Penny,SILV,20904,RLU,AP,1325512.0,510551.0,POINT (1325512 510551)
3746787,Congressional,POTO,20854,RLU,PE,1257100.0,486407.0,POINT (1257100 486407)
258632,Graybill,BURT,20866,RLU,AP,1330734.0,523479.0,POINT (1330734 523479)
486772,Wilson,BETH,20814,RLU,AP,1280825.0,480783.0,POINT (1280825 480783)
321528,Batchelors,SILV,20904,ACC3,LI,1322847.0,515437.0,POINT (1322847 515437)
3257053,Novak,BURT,20866,RLU,AP,1326626.0,523353.0,POINT (1326626 523353)
481371,Spring,CABI,20818,RLU,AP,1265454.0,477546.0,POINT (1265454 477546)
3179176,Ethan Allen,TAKO,20912,ACC,PE,1312529.0,477470.0,POINT (1312529 477470)
1888948,Dustin,BURT,20866,RLU,AP,1332710.0,530961.0,POINT (1332710 530961)
3450616,Ethel Rose,BOYD,20841,RLU,AP,1237393.0,563607.0,POINT (1237393 563607)
2187045,Rising Wind,SILV,20905,ACC3,LI,1316828.0,521224.0,POINT (1316828 521224)
2834634,Grassy Knoll,GERM,20874,RLU,AP,1248369.0,551074.0,POINT (1248369 551074)
3310260,Polynesian,BOYD,20841,RLU,AP,1228138.0,544683.0,POINT (1228138 544683)
3041906,Mocking Bird,DARN,20878,RLU,AP,1230791.0,520284.0,POINT (1230791 520284)
1354375,Indian Spring,SILV,20901,ACC,EX,1311389.0,490629.0,POINT (1311389 490629)
929246,Woodview,DAMA,20872,RLU,AP,1246611.0,603918.0,POINT (1246611 603918)
13786,Goshen,GAIT,20879,RLU,AP,1259662.0,558737.0,POINT (1259662 558737)
