GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330803514,2010,803514,4401526,48135,Census Tract 8035.14,38.9054179,-76.8398234,4269,110,4009,18,37,2,6,87,112,13,54,2,0,0,26,17,4381
G2400330803516,2010,803516,3709036,31589,Census Tract 8035.16,38.9536795,-76.8176267,4236,300,3614,7,203,1,2,109,210,77,42,0,2,5,64,20,4446
G2400330803519,2010,803519,3214643,13055,Census Tract 8035.19,38.8951345,-76.8590949,3659,105,3424,14,35,0,6,75,166,22,47,4,0,0,80,13,3825
G2400330803520,2010,803520,6854560,20636,Census Tract 8035.20,38.9351619,-76.8188213,4135,281,3616,10,117,0,8,103,170,52,45,0,1,0,64,8,4305
G2400330803521,2010,803521,5251569,27356,Census Tract 8035.21,38.9242913,-76.8366367,4566,447,3918,6,119,0,12,64,89,18,39,0,0,0,21,11,4655
G2400330803522,2010,803522,2525673,89544,Census Tract 8035.22,38.9033373,-76.8097138,3643,60,3439,2,84,3,3,52,84,13,36,0,0,0,15,20,3727
G2400330803523,2010,803523,3111306,21344,Census Tract 8035.23,38.9139506,-76.817803,3550,60,3321,6,98,0,4,61,75,30,34,0,0,0,7,4,3625
G2400330803524,2010,803524,2779103,1046,Census Tract 8035.24,38.9037925,-76.882056,3143,13,3067,1,29,0,0,33,152,23,39,3,0,0,75,12,3295
G2400330803525,2010,803525,2429590,14743,Census Tract 8035.25,38.9096928,-76.871955,2330,48,2143,2,68,3,8,58,74,9,29,1,0,0,29,6,2404
G2400330803526,2010,803526,2316297,15200,Census Tract 8035.26,38.8821457,-76.805677,3422,87,3224,3,35,5,9,59,60,5,17,0,0,0,28,10,3482
G2400330803527,2010,803527,1622004,9878,Census Tract 8035.27,38.8973278,-76.8189558,3033,78,2804,4,100,0,10,37,51,3,30,3,0,0,11,4,3084
G2400330803601,2010,803601,2330209,0,Census Tract 8036.01,38.939847,-76.8472042,3253,46,3072,11,78,0,11,35,238,63,26,2,0,0,140,7,3491
